City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
boca do acre,-8.7522,-67.3978,23.87,90,85,0.44,BR,1612405815
esperance,-33.8667,121.9,18,39,90,8.75,AU,1612405817
amazar,53.858,120.875,-26.61,78,25,1.19,RU,1612405818
miles city,46.4083,-105.8406,-7,73,90,6.69,US,1612405820
kaoma,-14.7833,24.8,17.95,96,100,1.58,ZM,1612405822
chifeng,42.2683,118.9636,-4.02,87,0,6.48,CN,1612405824
tashara,55.5195,83.5094,-14.26,95,35,3.51,RU,1612405825
norman wells,65.282,-126.8329,-38,67,75,2.06,CA,1612405827
phalaborwa,-23.943,31.1411,23,100,81,1.03,ZA,1612405829
atuona,-9.8,-139.0333,25.65,71,0,4.32,PF,1612405777
la ferte-bernard,48.1863,0.6536,7.22,100,75,1.03,FR,1612405833
port hedland,-20.3167,118.5667,31,62,40,5.14,AU,1612405776
tankhoy,51.5528,105.1306,-1.19,89,100,1.58,RU,1612405837
hualmay,-11.0964,-77.6139,21.17,79,97,3.27,PE,1612405838
nikolskoye,59.7035,30.7861,-10,85,90,7,RU,1612405840
bend,44.0582,-121.3153,1,60,1,3.09,US,1612405841
vardo,70.3705,31.1107,-1.62,93,100,9.81,NO,1612405843
qaqortoq,60.7167,-46.0333,-10,44,33,1.54,GL,1612405845
malkara,40.89,26.9011,8.46,97,0,3.06,TR,1612405847
thompson,55.7435,-97.8558,-19,78,90,5.66,CA,1612405848
cape town,-33.9258,18.4232,20.56,82,20,5.14,ZA,1612405775
avarua,-21.2078,-159.775,29,70,20,4.12,CK,1612405851
kupang,-10.1667,123.5833,25,100,75,5.14,ID,1612405775
mirabad,30.4362,61.8383,3.9,75,0,0.39,AF,1612405855
mahajanga,-15.7167,46.3167,24,94,20,2.06,MG,1612405858
cidreira,-30.1811,-50.2056,24.5,91,100,4.98,BR,1612405861
pangnirtung,66.1451,-65.7125,-24.09,77,85,0.46,CA,1612405863
lata,40.1629,-8.3327,11.67,91,100,0.45,PT,1612405866
visnes,59.3556,5.2242,-4.44,85,0,2.57,NO,1612405868
dunedin,-45.8742,170.5036,12.22,68,0,11.62,NZ,1612405869
lagoa,39.05,-27.9833,12.11,66,99,14.66,PT,1612405871
mount gambier,-37.8333,140.7667,26,31,94,6.69,AU,1612405848
sosnovo-ozerskoye,52.5249,111.5418,-15.14,93,100,4.66,RU,1612405874
san andres,12.5847,-81.7006,26,65,75,5.14,CO,1612405704
lubao,14.9167,120.55,28,57,40,5.14,PH,1612405877
hervey bay,-25.2986,152.8535,30.56,54,12,5.14,AU,1612405879
bethel,41.3712,-73.414,-1,64,90,3.6,US,1612405881
kodiak,57.79,-152.4072,-1,80,1,3.09,US,1612405882
khatanga,71.9667,102.5,-29.61,86,27,5.66,RU,1612405884
tornio,65.8481,24.1466,-13,85,0,4.63,FI,1612405885
dumbravita,45.7667,25.4333,1.11,88,93,0.45,RO,1612405887
bambous virieux,-20.3428,57.7575,25,88,40,1.03,MU,1612405889
rio gallegos,-51.6226,-69.2181,17,55,0,4.12,AR,1612405884
portland,45.5234,-122.6762,6.11,75,90,0.55,US,1612405825
haines junction,60.7522,-137.5108,-28,76,99,0.27,CA,1612405893
puerto gaitan,4.3133,-72.0816,29.8,48,92,2.35,CO,1612405895
georgetown,5.4112,100.3354,28,57,20,3.09,MY,1612405731
vao,-22.6667,167.4833,25.94,87,19,8.47,NC,1612405731
riyadh,24.6877,46.7219,16,39,0,2.06,SA,1612405835
coahuayana,18.7333,-103.6833,21.11,88,18,0.79,MX,1612405903
banikoara,11.2985,2.4386,21.5,20,52,2.79,BJ,1612405905
barranca,-10.75,-77.7667,20.84,78,99,1.85,PE,1612405907
izhma,65.0083,53.9113,-20.37,92,83,0.8,RU,1612405908
erdemli,36.605,34.3084,14.65,60,100,5.24,TR,1612405910
ola,59.5833,151.2833,-15.97,86,55,7.95,RU,1612405912
hauterive,46.0901,3.4459,7,76,0,4.63,FR,1612405913
khilok,51.3674,110.4676,-9.23,89,100,2.35,RU,1612405915
victoria,22.2855,114.1577,22.78,43,0,4.63,HK,1612405916
alugan,12.2188,125.4808,28.4,75,41,5.89,PH,1612405918
geraldton,-28.7667,114.6,24,50,90,12.35,AU,1612405920
severo-kurilsk,50.6789,156.125,-11.59,92,100,14.12,RU,1612405921
kapoeta,4.7717,33.5903,26.86,33,75,7.84,SS,1612405924
daru,-9.0763,143.2092,32.03,62,4,3.04,PG,1612405925
pevek,69.7008,170.3133,-21.97,75,0,4.62,RU,1612405927
yaan,7.3833,8.5667,22.62,20,1,2.02,NG,1612405929
guozhen,34.3659,107.359,7.15,44,100,0.64,CN,1612405932
tromso,69.6496,18.957,-2,86,75,5.66,NO,1612405801
san cristobal,7.7669,-72.225,19.53,71,78,0.64,VE,1612405936
ribeira grande,38.5167,-28.7,12.85,64,98,13.5,PT,1612405938
codrington,-38.2667,141.9667,27.81,30,100,5.88,AU,1612405939
coquimbo,-29.9533,-71.3436,15,88,20,3.09,CL,1612405941
salalah,17.0151,54.0924,18,48,0,1.03,OM,1612405938
manzanillo,20.3433,-77.1167,17.46,66,0,4.6,CU,1612405944
soyo,-6.1349,12.3689,26.23,85,95,3.37,AO,1612405946
